,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Index,Manufacturer Part Number,Manufacturer Name,Description,Requested Quantity 1,Pack Quantity 1,Pack Type 1,Digi-Key Part Number 1,Unit Price 1,Extended Price 1,Minimum Order Quantity 1,Customer Reference,Requested Part Number,Lead Weeks,Datasheet,Reference Designator,US Import Tariff,Original Part numbers,Image
1,A20605RNCQ,C&K,SWITCH ROTARY 6POS 2.5A 125V,1,1,Tray,CKN9488-ND,10.8,$10.80,1,,CKN9488-ND,16,https://www.ckswitches.com/media/1349/arotary.pdf,,-,CKN9488-ND,https://media.digikey.com/photos/CK%20Comp%20Photos/A20605RNCQ.jpg
2,ASJ-203C-M-WP-HDW,Adam Tech,"AUDIO JACK, WATERPROOF",1,1,Bulk,2057-ASJ-203C-M-WP-HDW-ND,3.91,$3.91,1,,2057-ASJ-203C-M-WP-HDW-ND,10,https://app.adam-tech.com/products/download/data_sheet/244313/asj-203c-m-wp-hdw-data-sheet.pdf,,-,CP-2508-ND,https://media.digikey.com/Photos/Adam-Tech/ASJ-203C-M-WP-HDW.jpg
3,PJA138K_R1_00001,Panjit International Inc.,"SOT-23, MOSFET",1,1,Cut Tape (CT),3757-PJA138K_R1_00001CT-ND,0.24,$0.24,1,,3757-PJA138K_R1_00001CT-ND,4,https://www.panjit.com.tw/upload/datasheet/PJA138K.pdf,,-,3757-PJA138K_R1_00001CT-ND,https://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/SOT-23-3%20PKG.jpg
4,CL10B105KP8NNNC,Samsung Electro-Mechanics,CAP CER 1UF 10V X7R 0603,1,1,Cut Tape (CT),1276-1946-1-ND,0.1,$0.10,1,,1276-1946-1-ND,22,https://media.digikey.com/pdf/Data%20Sheets/Samsung%20PDFs/CL10B105KP8NNNC_Spec.pdf,,-,1276-1946-1-ND,https://media.digikey.com/Renders/Samsung%20Electro-Mechanics%20America/Ceramic-Capacitor-CL-Series.jpg
5,06035C102KAT2A,KYOCERA AVX,CAP CER 1000PF 50V X7R 0603,1,1,Cut Tape (CT),478-1215-1-ND,0.1,$0.10,1,,478-1215-1-ND,12,https://datasheets.kyocera-avx.com/X7RDielectric.pdf,,May apply on shipments to the U.S.,478-1215-1-ND,"https://media.digikey.com/Renders/AVX%20Renders/0603-(1608-Metric)-0,90mm.jpg"
6,RNCP0805FTD1K00,Stackpole Electronics Inc,RES 1K OHM 1% 1/4W 0805,3,3,Cut Tape (CT),RNCP0805FTD1K00CT-ND,0.1,$0.30,1,,RNCP0805FTD1K00CT-ND,14,https://www.seielect.com/Catalog/SEI-RNCP.pdf,,-,RNCP0805FTD1K00CT-ND,https://media.digikey.com/Renders/Stackpole%20Renders/RNCP-Thin-Film-Chip-Resistor.jpg
7,RC0805FR-07330RL,YAGEO,RES 330 OHM 1% 1/8W 0805,1,1,Cut Tape (CT),311-330CRCT-ND,0.1,$0.10,1,,311-330CRCT-ND,20,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf,,May apply on shipments to the U.S.,311-330CRCT-ND,https://media.digikey.com/Renders/Yageo%20Renders/0805-(2012-Metric).jpg
8,RC0805FR-073K3L,YAGEO,RES 3.3K OHM 1% 1/8W 0805,1,1,Cut Tape (CT),311-3.30KCRCT-ND,0.1,$0.10,1,,311-3.30KCRCT-ND,20,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf,,-,311-3.30KCRCT-ND,https://media.digikey.com/Renders/Yageo%20Renders/0805-(2012-Metric).jpg
9,1N4448W-TP,Micro Commercial Co,DIODE GEN PURP 75V 250MA SOD123,6,6,Cut Tape (CT),1N4448WTPMSCT-ND,0.11,$0.66,1,,1N4448WTPMSCT-ND,10,https://www.mccsemi.com/pdf/Products/1N4448W(SOD-123).pdf,,May apply on shipments to the U.S.,1N4448WTPMSCT-ND,https://media.digikey.com/Renders/Micro%20Commercial%20Renders/SOD-123.jpg
10,TLC555CDR,Texas Instruments,IC OSC SGL TIMER 2.1MHZ 8-SOIC,1,1,Cut Tape (CT),296-1336-1-ND,0.85,$0.85,1,,296-1336-1-ND,6,https://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=https%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Ftlc555,,-,296-1336-1-ND,https://media.digikey.com/Renders/Texas%20Instr%20Renders/8-SOIC.jpg
